Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
Item-Based CF,30,5,3,706,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",77.1303804,0.109249831,0.778440801,0.935281525,0.303749629,0.445415587,0.082569837,,0.184183192,0.184183192,0.085713724,"{0.5: 0.00010748008568223567, 1.0: 0.0006545710118842993, 1.5: 0.0004294813851072281, 2.0: 0.002480532484183511, 2.5: 0.0022028457108746627, 3.0: 0.014206184342266124, 3.5: 0.01112416348171041, 4.0: 0.027249120822695115, 4.5: 0.012173674790065358, 5.0: 0.016293929903465513}"
Item-Based KNN,30,5,3,706,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",3493.659945,4.948526835,0.728696993,0.845235246,0.133944557,0.279485777,0.005211952,,0.100188857,0.100188857,0.041343248,"{0.5: 4.850541776557984e-05, 1.0: 0.0003761381157194112, 1.5: 0.00037448274865854085, 2.0: 0.0010737516594975392, 2.5: 0.0013201395683064866, 3.0: 0.005596332464952771, 3.5: 0.006273380626624035, 4.0: 0.016083810031302354, 4.5: 0.007801246220398201, 5.0: 0.010108889068478689}"
User-Based CF,30,5,3,706,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",967.3014153,1.370115319,0.599219622,0.673177018,0.21634453,0.54367697,0.009669661,,0.113031161,0.113031161,0.049762354,"{0.5: 0.00013682808674315769, 1.0: 0.0002695066482950858, 1.5: 0.000319093914277251, 2.0: 0.0007598463694063563, 2.5: 0.0008071099137475722, 3.0: 0.003644006147519891, 3.5: 0.004574691864759431, 4.0: 0.01356646532176921, 4.5: 0.007845807561328251, 5.0: 0.00916532429156188}"
User-Based KNN,30,5,3,706,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'predict': 'calc'}",463.3937838,0.656365133,0.811955253,0.915699288,0.130663834,0.553429727,0.013813773,,0.216477809,0.210812087,0.095915958,"{0.5: 0.0001703249074034524, 1.0: 0.0004018060223638599, 1.5: 0.00026729224895444953, 2.0: 0.0014812937660897767, 2.5: 0.001491998577503415, 3.0: 0.010317026020911205, 3.5: 0.009761664687186887, 4.0: 0.02902766823941724, 4.5: 0.014329707103135624, 5.0: 0.021994827709908956}"
Random Control,30,5,3,706,,,{'randomRatings': True},11.7993134,0.016712908,0.348508801,0.352040819,1,0.001461144,0.500921188,,0.008262512,0.003493862,0.0035757,"{0.5: 5.301432201296716e-05, 1.0: 0.00016288897096879875, 1.5: 4.769126582157744e-06, 2.0: 0.00017896039466318756, 2.5: 0.00019931662736236478, 3.0: 0.0005885918143326573, 3.5: 0.0003454557921586798, 4.0: 0.0006638336270991874, 4.5: 0.00030448398712508575, 5.0: 0.00019732587663575415}"
Random Control,30,5,3,706,,,{'randomRatings': False},8.0661217,0.011425102,0.288289736,0.29147925,1,0.001476956,0.498796169,,0.007932011,0.007932011,0.003254643,"{0.5: 3.3616424423949014e-05, 1.0: 2.3447019345712848e-05, 1.5: 3.106793521834412e-05, 2.0: 0.00010608088121400007, 2.5: 0.0001060625056311967, 3.0: 0.0006063237306956725, 3.5: 0.0004986978107723816, 4.0: 0.0009014914156601516, 4.5: 0.00036263740833418533, 5.0: 0.00022984435711175953}"
Item-Based CF,30,5,3,706,predict,calc,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",77.1303804,0.109249831,0.778440801,0.935281525,0.303749629,0.445415587,0.082569837,,0.184183192,0.184183192,0.085713724,"{0.5: 0.00010748008568223567, 1.0: 0.0006545710118842993, 1.5: 0.0004294813851072281, 2.0: 0.002480532484183511, 2.5: 0.0022028457108746627, 3.0: 0.014206184342266124, 3.5: 0.01112416348171041, 4.0: 0.027249120822695115, 4.5: 0.012173674790065358, 5.0: 0.016293929903465513}"
Item-Based CF,30,5,3,706,predict,rand,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",81.4777338,0.115407555,1.753765494,2.054811802,0.303749629,0.445415587,0.082569837,,0.184183192,0.074881964,0.085713724,"{0.5: 0.00010748008568223567, 1.0: 0.0006545710118842993, 1.5: 0.0004294813851072281, 2.0: 0.002480532484183511, 2.5: 0.0022028457108746627, 3.0: 0.014206184342266124, 3.5: 0.01112416348171041, 4.0: 0.027249120822695115, 4.5: 0.012173674790065358, 5.0: 0.016293929903465513}"
Item-Based CF,30,5,3,706,predict,sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",77.8141425,0.110218332,1.214866728,1.343901023,0.303749629,0.445415587,0.082569837,,0.184183192,0.064730878,0.085713724,"{0.5: 0.00010748008568223567, 1.0: 0.0006545710118842993, 1.5: 0.0004294813851072281, 2.0: 0.002480532484183511, 2.5: 0.0022028457108746627, 3.0: 0.014206184342266124, 3.5: 0.01112416348171041, 4.0: 0.027249120822695115, 4.5: 0.012173674790065358, 5.0: 0.016293929903465513}"
Item-Based CF,30,5,3,706,predict,norm_sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",77.7274611,0.110095554,0.854290771,0.986384083,0.303749629,0.445415587,0.082569837,,0.184183192,0.153588291,0.085713724,"{0.5: 0.00010748008568223567, 1.0: 0.0006545710118842993, 1.5: 0.0004294813851072281, 2.0: 0.002480532484183511, 2.5: 0.0022028457108746627, 3.0: 0.014206184342266124, 3.5: 0.01112416348171041, 4.0: 0.027249120822695115, 4.5: 0.012173674790065358, 5.0: 0.016293929903465513}"
