Traffic Day,Traffic New or Returning Visitor,Traffic Referring Category Ø,Traffic Referring Site Ø,Traffic Referring URL,Traffic UTM Campaign Name Ø,Traffic UTM Campaign Medium Ø,Traffic UTM Campaign Source Ø,Traffic Page Path Ø,Traffic Page URL,Traffic Country,Traffic Region,Traffic City,Traffic Device Type,Traffic Browser,Traffic Browser Version,Traffic Operating System,Traffic Is the First Page Viewed Ø (Yes / No),Traffic Is the Last Page Viewed Ø (Yes / No),Traffic Next Page Viewed Ø,Traffic Previous Page Viewed Ø,Traffic Page Views,Traffic Site Sessions Ø,Traffic Unique Visitors,Traffic Site Bounce Rate Ø,Traffic Avg. Session Duration Ø,Traffic Avg. Time on Page Ø,Traffic Avg. Pages per Session Ø
20/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/maturity,http://jorjmakesmusic.com/maturity,United Kingdom,ENG,London,Desktop,Chrome,81.0.4044.138,Windows,Yes,Yes,N/A,N/A,7,1,1,0,0.00380787,0.000272,1
22/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/early-access,http://jorjmakesmusic.com/early-access,United Kingdom,GRE,Greenwich,Desktop,Chrome,81.0.4044.138,Windows,Yes,No,/exclusive,N/A,5,1,1,0,0.021354167,0.002581,1
05/05/2020,New Visitor,Social,facebook.com,http://m.facebook.com,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,BNH,Brighton,Mobile,Safari,N/A,Mac OS,Yes,Yes,N/A,N/A,4,2,2,0,0.000752315,0,1
05/05/2020,New Visitor,Social,facebook.com,http://m.facebook.com/,_,_,_,/video,http://jorjmakesmusic.com/video,United Kingdom,BNH,Brighton,Mobile,Chrome,268.1.0.54.121,Android,No,Yes,N/A,/,3,2,1,0,0.000787037,0,1
05/05/2020,New Visitor,Social,facebook.com,http://m.facebook.com/,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,BNH,Brighton,Mobile,Chrome,268.1.0.54.121,Android,Yes,No,/video,N/A,3,2,1,0,0.000787037,6.36E-05,2
07/10/2020,New Visitor,Organic Search,google.com,https://google.com/,_,_,_,/video,https://jorjmakesmusic.com/video,Germany,BE,Berlin,Desktop,Chrome,83.0.4103.116,Linux,No,No,/news,/maturity,3,1,1,0,0.000497685,5.40E-05,2
05/05/2020,New Visitor,Social,facebook.com,https://m.facebook.com/,_,_,_,/video,http://jorjmakesmusic.com/video,United Kingdom,ENG,London,Mobile,Chrome,81.0.4044.117,Android,No,Yes,N/A,/,3,1,1,0,0.002534722,0.0003796,1
04/01/2021,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,N/A,N/A,N/A,Desktop,Chrome,71.0.3563.0,Linux,Yes,Yes,N/A,N/A,2,2,2,1,0,0,1
23/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,GRE,Greenwich,Desktop,Chrome,81.0.4044.138,Windows,No,Yes,N/A,/maturity,2,1,1,0,0.001805556,0,1
07/06/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/exclusive,http://jorjmakesmusic.com/exclusive,United Kingdom,LEW,N/A,Desktop,Chrome,83.0.4103.97,Windows,Yes,Yes,N/A,N/A,2,1,1,0,0.006030093,0,1
10/12/2020,New Visitor,Social,facebook.com,https://l.facebook.com/,_,_,_,/video,https://jorjmakesmusic.com/video,United Kingdom,BNH,Brighton,Desktop,Chrome,87.0.4280.88,Mac OS,No,No,/about,/,2,1,1,0,0.000428241,0.0001155,2
