Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
Item-Based CF,30,5,3.0,706,sample,10,CF,31.55234639999999,0.04469170878186968,0.9727821102045978,1.0977497535050162,0.06705584783488466,0.395589396373992,0.06825399523359865,0.04107648725212465,0.10184135977337133,0.10184135977337133,0.04791312559018001,"{0.5: 0.00013623716825530608, 1.0: 0.00034966047968579175, 1.5: 0.00022170644233501528, 2.0: 0.0013883328634916423, 2.5: 0.0011071279857868732, 3.0: 0.006260360342164472, 3.5: 0.005212383743066734, 4.0: 0.014337616557811548, 4.5: 0.00635105601980833, 5.0: 0.009101159054733183}"
Item-Based CF,30,5,3.0,706,sample,20,CF,53.154341200000005,0.07528943512747877,0.9330560054954845,1.0886475985961488,0.11398165385134224,0.3765005416286085,0.07095880660101626,0.049575070821529746,0.12677053824362639,0.12677053824362639,0.057719546742210165,"{0.5: 0.0001225089674250961, 1.0: 0.0004261938258053541, 1.5: 0.00030263129730916344, 2.0: 0.0016737736363282866, 2.5: 0.0012296270529316997, 3.0: 0.006938669484727418, 3.5: 0.006078236194049241, 4.0: 0.018152101402942933, 4.5: 0.008652273792407314, 5.0: 0.012477625927160245}"
Item-Based CF,30,5,3.0,706,sample,30,CF,82.0618594,0.1162349283286119,0.8901278235954528,1.055357083306632,0.15144516390125454,0.3574626137846016,0.07015984981339093,0.049575070821529746,0.1394239848914073,0.1394239848914073,0.06348520616934278,"{0.5: 0.00016303702684269673, 1.0: 0.0003862198376723998, 1.5: 0.00033038130161041804, 2.0: 0.0017045585813057161, 2.5: 0.0014187180130680363, 3.0: 0.007704182734450496, 3.5: 0.0064322883529876855, 4.0: 0.01985267851178277, 4.5: 0.009463275996771001, 5.0: 0.014145675790707713}"
Item-Based CF,30,5,3.0,706,sample,40,CF,117.0800869,0.16583581713881018,0.8708504525951937,1.0363791612481763,0.1834359908269257,0.343829868322062,0.0706896847879851,0.04815864022662889,0.14896128423040664,0.14896128423040664,0.0683168083097266,"{0.5: 7.898178547511687e-05, 1.0: 0.0003859720387427998, 1.5: 0.0003248008708014782, 2.0: 0.0016494915836741757, 2.5: 0.0014255541856505087, 3.0: 0.007922552035894885, 3.5: 0.007065890219500354, 4.0: 0.02193961279152111, 4.5: 0.010142454105466223, 5.0: 0.015394316184381961}"
Item-Based CF,30,5,3.0,706,sample,50,CF,158.32456590000004,0.22425575906515585,0.8619640619137363,1.0260953749242363,0.210648185619857,0.33157952276459474,0.07191075587931119,0.05099150141643059,0.15816808309726205,0.15816808309726205,0.07215140069247776,"{0.5: 7.898178547511687e-05, 1.0: 0.00034380406830990246, 1.5: 0.00044006465846063936, 2.0: 0.0019134710924125302, 2.5: 0.0018035228854985249, 3.0: 0.008417982658610728, 3.5: 0.007553763594517925, 4.0: 0.023579409517038078, 4.5: 0.010951774389651964, 5.0: 0.016015252659709642}"
Item-Based CF,30,5,3.0,706,sample,60,CF,205.45038120000004,0.29100620566572244,0.8591236534009142,1.0252615040791753,0.233971671388102,0.3250350974166703,0.07343646746706242,0.05240793201133145,0.16421152030217226,0.16421152030217226,0.07634482215927024,"{0.5: 0.00013993030969273887, 1.0: 0.000360519514052736, 1.5: 0.0004967516099451424, 2.0: 0.0020156442029071442, 2.5: 0.002072671027146241, 3.0: 0.009055138942090294, 3.5: 0.008182054033199071, 4.0: 0.02444023011459623, 4.5: 0.011094814222660178, 5.0: 0.01566053796505449}"
Item-Based CF,30,5,3.0,706,sample,70,CF,264.392886,0.37449417280453257,0.8349870558123264,1.0054023936268877,0.2547045730473493,0.322223254217228,0.0749807455371195,0.05099150141643059,0.16864966949952845,0.16864966949952845,0.07823811772112102,"{0.5: 0.00015447441200142488, 1.0: 0.0004356942780355362, 1.5: 0.00036706480521809875, 2.0: 0.001871256199703407, 2.5: 0.002204703765165733, 3.0: 0.009730492407670918, 3.5: 0.008926856316743946, 4.0: 0.02509542688107406, 4.5: 0.011166484641896098, 5.0: 0.01579760523840231}"
Item-Based CF,30,5,3.0,706,sample,80,CF,330.2545861000001,0.4677826998583571,0.8141440502047449,0.9817953569445638,0.27345690004046946,0.3165770787511525,0.07625647286298842,0.05524079320113314,0.17459867799811193,0.17459867799811193,0.08092854894554673,"{0.5: 0.00011557337017698466, 1.0: 0.0004782908860609626, 1.5: 0.0003800020048351922, 2.0: 0.0021634558825076857, 2.5: 0.0019097094727777316, 3.0: 0.010502099647165565, 3.5: 0.009384233811098893, 4.0: 0.02627550968358262, 4.5: 0.011545788952026148, 5.0: 0.0157209756843386}"
Item-Based CF,30,5,3.0,706,sample,90,CF,397.32498839999994,0.5627832696883852,0.790637788879544,0.9552648651949419,0.2900623229461756,0.3128856119165623,0.07716921174513246,0.053824362606232294,0.17861189801699773,0.17861189801699773,0.08286984576644682,"{0.5: 0.00011557337017698466, 1.0: 0.0004766035041429449, 1.5: 0.00040603684040531795, 2.0: 0.002240708847621672, 2.5: 0.0019345267883286621, 3.0: 0.01085889604747836, 3.5: 0.009702457909349609, 4.0: 0.026861131889747134, 4.5: 0.011806136875855529, 5.0: 0.015900879862099076}"
Item-Based KNN,30,5,3.0,706,sample,10,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",431.4735151,0.6111522876770538,0.7562233725727237,0.8068705033996366,0.030305949008498586,0.1532590913536702,0.0049198165385134175,0.059490084985835696,0.045845136921624494,0.045845136921624494,0.02057680201447911,"{0.5: 7.995970035630093e-05, 1.0: 2.8674960439799675e-05, 1.5: 2.623019620186759e-05, 2.0: 0.0005115420907258419, 2.5: 0.0005393841763124768, 3.0: 0.0029104413502080754, 3.5: 0.002188364986269634, 4.0: 0.007235727767291495, 4.5: 0.0026851711857460814, 5.0: 0.0052725906943485905}"
