Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
Item-Based CF,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'pred': 'calc'}",0.37282721,0.037282721,0.81788195,0.847521495,0.292219048,0.303800958,0.077635238,0,0.18,0.18,0.13,"{2.0: 0.000641025641025641, 3.0: 0.003333333333333333, 3.5: 0.000641025641025641, 4.0: 0.009725511069283363, 5.0: 0.0037395228884590584}"
User-Based CF,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'pred': 'calc'}",11.81171491,1.181171491,0.256619039,0.269140563,0.252552381,0.430652114,0.008315238,0,0.12,0.12,0.085,"{3.0: 0.0011494252873563218, 4.0: 0.004259634888438134, 4.5: 0.007205279115391474, 5.0: 0.0031746031746031746}"
Item-Based KNN,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'pred': 'calc'}",28.57385419,2.857385419,0.543996513,0.593886913,0.120390476,0.156987842,0.003518095,0,0.1,0.1,0.08,"{1.0: 0.001020408163265306, 3.0: 0.001941747572815534, 3.5: 0.0006622516556291391, 4.0: 0.0016826598188944453, 4.5: 0.0035866910866910865, 5.0: 0.0009345794392523364}"
User-Based KNN,10,5,3,10,,,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0, 'pred': 'calc'}",2.81609593,0.281609593,0.475466629,0.53625482,0.097609524,0.409357388,0.01096381,0,0.3,0.3,0.22,"{3.0: 0.005664830841856806, 3.5: 0.0073861327119516635, 4.0: 0.00716850294993313, 4.5: 0.010327309182539898, 5.0: 0.01693260091681012}"
Random Control,10,5,3,10,,,{'randomRatings': True},0.01711746,0.001711746,0,0,1,0.000538804,0.568250476,0,0,0,0,{}
Item-Based CF,10,5,3,10,predict,rand,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",0.11186794,0.011186794,1.837522891,2.022493533,0.262285714,0.313914996,0.061639048,0.1,0.22,0.12,0.175,"{2.0: 0.0024390243902439024, 2.5: 0.0008130081300813009, 3.0: 0.006348637015781923, 4.0: 0.015589149305074702, 4.5: 0.0059412132582864294, 5.0: 0.010355916202401137}"
User-Based CF,10,5,3,10,predict,rand,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",11.79967987,1.179967987,1.125993624,1.167065783,0.257190476,0.430620443,0.009057143,0,0.13,0.06,0.095,"{2.5: 0.0013986013986013986, 3.0: 0.0006993006993006993, 3.5: 0.0037795537795537793, 4.0: 0.002847876760920239, 4.5: 0.0006993006993006993, 5.0: 0.005935127674258109}"
Item-Based KNN,10,5,3,10,predict,rand,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",28.7349138,2.87349138,1.689455093,1.86206658,0.096809524,0.162071071,0.002308571,0,0.14,0.07,0.105,"{3.0: 0.0018867924528301887, 3.5: 0.0031735985533453887, 4.0: 0.0071084300099318876, 4.5: 0.00397161267850923, 5.0: 0.002127659574468085}"
User-Based KNN,10,5,3,10,predict,rand,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",2.82501707,0.282501707,1.85347988,1.990853303,0.110933333,0.409590243,0.010909524,0,0.35,0.1,0.25,"{3.0: 0.004897959183673469, 3.5: 0.005714285714285714, 4.0: 0.022495900769073672, 4.5: 0.00398901098901099, 5.0: 0.012631291320854932}"
Random Control,10,5,3,10,predict,rand,{'randomRatings': True},0.01669398,0.001669398,0.453886921,0.453886921,1,0.000534816,0.478374286,0,0.02,0.01,0.015,"{4.0: 0.0014492753623188406, 4.5: 0.000546448087431694}"
Item-Based CF,10,5,3,10,predict,calc,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",0.10682315,0.010682315,0.576204184,0.640908189,0.300714286,0.365722277,0.070579048,0,0.22,0.22,0.17,"{3.0: 0.006293057763645998, 3.5: 0.0008626861397479955, 4.0: 0.005368703956313912, 4.5: 0.0010256679991584262, 5.0: 0.007062561773506876}"
User-Based CF,10,5,3,10,predict,calc,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",11.68975246,1.168975246,0.228436483,0.228436483,0.254095238,0.315414857,0.004924762,0,0.02,0.02,0.015,"{3.0: 0.0005649717514124294, 4.0: 0.002702702702702703}"
Item-Based KNN,10,5,3,10,predict,calc,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",28.8287038,2.88287038,0.337253194,0.337253194,0.116009524,0.15132425,0.002074286,0,0.09,0.09,0.075,"{3.0: 0.002325581395348837, 3.5: 0.0024390243902439024, 4.5: 0.004110499169507824, 5.0: 0.0044445012787723785}"
User-Based KNN,10,5,3,10,predict,calc,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",2.82899957,0.282899957,0.830462214,0.912786855,0.09312381,0.384580881,0.016760952,0,0.36,0.36,0.28,"{2.5: 0.0034156142365097592, 3.0: 0.006693935702245725, 3.5: 0.0035173969766244956, 4.0: 0.024354988314251817, 4.5: 0.008702173352916247, 5.0: 0.006229465418007998}"
Random Control,10,5,3,10,predict,calc,{'randomRatings': True},0.01656885,0.001656885,0,0,1,0.000543259,0.529531429,0,0,0,0,{}
Item-Based CF,10,5,3,10,predict,sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",0.10630908,0.010630908,0.893128535,0.953462149,0.271657143,0.332313013,0.050037143,0,0.19,0.14,0.15,"{2.0: 0.0018867924528301887, 3.0: 0.007524327360167077, 3.5: 0.00486111111111111, 4.0: 0.0067675983436852995, 4.5: 0.0031046461137646543, 5.0: 0.0121338247465962}"
User-Based CF,10,5,3,10,predict,sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",11.79629209,1.179629209,0.534969707,0.536499994,0.247390476,0.352470329,0.008304762,0,0.05,0.01,0.04,"{3.0: 0.0017543859649122805, 3.5: 0.002, 4.0: 0.002127659574468085, 5.0: 0.002640480087288598}"
Item-Based KNN,10,5,3,10,predict,sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",28.76429396,2.876429396,0.373949678,0.390165983,0.091695238,0.180699903,0.00268381,0,0.1,0.1,0.09,"{3.0: 0.004147640791476408, 4.0: 0.002702702702702703, 4.5: 0.0027777777777777775, 5.0: 0.010863378876225122}"
User-Based KNN,10,5,3,10,predict,sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",2.83659462,0.283659462,1.272594445,1.341842507,0.113161905,0.453055329,0.016140952,0,0.34,0.11,0.265,"{3.0: 0.010221992178513918, 3.5: 0.0018518518518518517, 4.0: 0.01638535556052542, 4.5: 0.002881136950904393, 5.0: 0.014198297097627011}"
Random Control,10,5,3,10,predict,sims,{'randomRatings': True},0.01662406,0.001662406,0.001347384,0.001347384,1,0.000414212,0.469065714,0,0.01,0.01,0.005,{3.0: 0.0013157894736842105}
Item-Based CF,10,5,3,10,predict,norm_sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",0.10849069,0.010849069,0.739114251,0.841975558,0.273685714,0.341955711,0.079308571,0,0.27,0.27,0.22,"{2.0: 0.0012987012987012987, 2.5: 0.00024271844660194174, 3.0: 0.007397504456327986, 3.5: 0.0018075491759702287, 4.0: 0.006332436053798282, 4.5: 0.0018075491759702287, 5.0: 0.01743060182948636}"
User-Based CF,10,5,3,10,predict,norm_sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",12.11026485,1.211026485,0.409740741,0.453253967,0.257257143,0.360197001,0.006569524,0,0.11,0.07,0.075,"{2.0: 0.002325581395348837, 4.0: 0.003826232198093802, 4.5: 0.0010033444816053513, 5.0: 0.0022575250836120403}"
Item-Based KNN,10,5,3,10,predict,norm_sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",30.05740525,3.005740525,0.104465538,0.107996993,0.1248,0.133094792,0.006775238,0,0.1,0.1,0.08,"{4.0: 0.0003891050583657588, 4.5: 0.004661000292023272, 5.0: 0.006059737004227477}"
User-Based KNN,10,5,3,10,predict,norm_sims,"{'neighbours': 100, 'sample': 100, 'threshold': 2.0}",3.00499472,0.300499472,0.681972472,0.766514745,0.10592381,0.435167645,0.006297143,0,0.33,0.26,0.265,"{3.0: 0.003403779719569193, 3.5: 0.007280194217462653, 4.0: 0.01606847685795294, 4.5: 0.00469317854995163, 5.0: 0.007435127959566879}"
